"category_id","category"
0,"American Malt Whiskey"
1,"American Whiskey"
2,"Australian Whisky"
3,"Austrian Whisky"
4,"Belgian Whisky"
5,"Bhutanese Whisky"
6,"Blended American Whiskey"
7,"Blended Belgian Whisky"
8,"Blended French Whisky"
9,"Blended Grain Scotch Whisky"
10,"Blended Irish Whiskey"
11,"Blended Japanese Whisky"
12,"Blended Malt Scotch Whisky"
13,"Blended Scotch Whisky"
14,"Bourbon/Tennessee"
15,"Canadian"
16,"Corn Whiskey"
17,"Craft Whiskey"
18,"Danish"
19,"Dutch"
20,"English Blended Whisky"
21,"English Grain Whisky & Spirit"
22,"Flavored Whisky & Liqueurs"
23,"French Whisky"
24,"Icelandic Whisky and Malt Spirit"
25,"Indian Whisky"
26,"Irish"
27,"Irish Single Malt"
28,"Irish Single Pot Still"
29,"Italian"
30,"Japanese Rice Whisky"
31,"Japanese Single Malt"
32,"Japanese Whisky"
33,"Liechtenstein"
34,"Light Whiskey"
35,"Miscellaneous"
36,"Multinational Whisky"
37,"Netherlands Whisky"
38,"New Zealand"
39,"Poitín"
40,"Rye Whiskey"
41,"Single Grain Belgian Whisky"
42,"Single Grain Irish Whiskey"
43,"Single Grain Scotch"
44,"Single Malt American Whiskey"
45,"Single Malt Belgian Whisky"
46,"Single Malt English Whisky"
47,"Single Malt Finnish Whisky"
48,"Single Malt French Whisky"
49,"Single Malt Scotch"
50,"Single Malt Swedish Whisky"
51,"South African Whisky"
52,"Spanish Whisky"
53,"Swiss"
54,"Taiwanese Whisky"
55,"Unspecified Single Malt"
56,"Welsh Whisky"
57,"Wheat Whiskey"
58,"White Whiskey"
59,"World Whisky"
